id,y,x
NA,39,24
NA,38,24
NA,37,24
NA,36,24
NA,35,24
NA,34,24
NA,33,24
NA,32,24
NA,31,24
NA,30,24
NA,29,24
NA,28,24
NA,27,24
NA,26,24
NA,25,24
NA,24,24
NA,23,24
P,22,24
T,21,24
J,20,24
T,19,24
P,18,24
C,17,24
C,16,24
C,15,24
T,14,24
T,13,24
T,12,24
J,11,24
J,10,24
J,9,24
K,8,24
K,7,24
K,6,24
Z,5,24
NA,4,24
NA,3,24
NA,2,24
NA,1,24
NA,48,25
NA,47,25
NA,46,25
NA,45,25
NA,44,25
NA,43,25
NA,42,25
NA,41,25
NA,40,25
NA,39,25
NA,38,25
NA,37,25
NA,36,25
NA,35,25
NA,34,25
NA,33,25
NA,32,25
NA,31,25
NA,30,25
NA,29,25
NA,28,25
NA,27,25
NA,26,25
NA,25,25
NA,24,25
NA,23,25
NA,22,25
J,21,25
J,20,25
J,19,25
T,18,25
T,17,25
T,16,25
T,15,25
T,14,25
J,13,25
J,12,25
J,11,25
J,10,25
J,9,25
K,8,25
K,7,25
K,6,25
Z,5,25
k,4,25
NA,3,25
NA,2,25
NA,1,25
NA,48,26
NA,47,26
NA,46,26
NA,45,26
NA,44,26
NA,43,26
NA,42,26
NA,41,26
NA,40,26
NA,39,26
NA,38,26
NA,37,26
NA,36,26
NA,35,26
NA,34,26
NA,33,26
NA,32,26
NA,31,26
NA,30,26
NA,29,26
NA,28,26
NA,27,26
NA,26,26
NA,25,26
NA,24,26
NA,23,26
NA,22,26
NA,21,26
J,20,26
K,19,26
K,18,26
J,17,26
J,16,26
J,15,26
J,14,26
J,13,26
J,12,26
J,11,26
J,10,26
K,9,26
Z,8,26
Z,7,26
K,6,26
Z,5,26
NA,4,26
NA,3,26
NA,2,26
NA,1,26
NA,48,27
NA,47,27
NA,46,27
NA,45,27
NA,44,27
NA,43,27
NA,42,27
NA,41,27
NA,40,27
NA,39,27
NA,38,27
NA,37,27
NA,36,27
NA,35,27
NA,34,27
NA,33,27
NA,32,27
NA,31,27
NA,30,27
NA,29,27
NA,28,27
NA,27,27
NA,26,27
NA,25,27
NA,24,27
NA,23,27
NA,22,27
NA,21,27
NA,20,27
NA,19,27
K,18,27
K,17,27
K,16,27
J,15,27
J,14,27
J,13,27
J,12,27
J,11,27
K,10,27
K,9,27
Z,8,27
K,7,27
K,6,27
K,5,27
NA,4,27
NA,3,27
NA,2,27
NA,1,27
NA,48,28
NA,47,28
NA,46,28
NA,45,28
NA,44,28
NA,43,28
NA,42,28
NA,41,28
NA,40,28
NA,39,28
NA,38,28
NA,37,28
NA,36,28
NA,35,28
NA,34,28
NA,33,28
NA,32,28
NA,31,28
NA,30,28
NA,29,28
NA,28,28
NA,27,28
NA,26,28
NA,25,28
NA,24,28
NA,23,28
NA,22,28
NA,21,28
NA,20,28
NA,19,28
NA,18,28
NA,17,28
K,16,28
K,15,28
J,14,28
J,13,28
J,12,28
K,11,28
K,10,28
Z,9,28
Z,8,28
K,7,28
K,6,28
K,5,28
NA,4,28
NA,3,28
NA,2,28
NA,1,28
NA,48,29
NA,47,29
NA,46,29
NA,45,29
NA,44,29
